offset,result,steps,price
0.01,SUCCESS,1,1003.31
0.05,SUCCESS,0,1003.35
0.1,SUCCESS,0,1003.39
0.12,SUCCESS,2,1003.39
0.25,SUCCESS,0,1003.39
0.0,SUCCESS,18,1003.3
0.01,SUCCESS,0,1003.31
0.05,SUCCESS,5,1003.35
0.1,SUCCESS,0,1003.39
0.12,SUCCESS,1,1003.39
0.25,SUCCESS,3,1003.39
0.0,SUCCESS,5,1003.3
0.01,SUCCESS,1,1003.31
0.05,SUCCESS,1,1003.35
0.1,SUCCESS,1,1003.39
0.12,SUCCESS,0,1003.39
0.25,SUCCESS,3,1003.39
0.0,SUCCESS,14,1003.3
0.01,SUCCESS,0,1003.31
0.05,SUCCESS,1,1003.35
0.1,SUCCESS,1,1003.39
0.12,SUCCESS,8,1003.39
0.25,SUCCESS,4,1003.39
0.0,SUCCESS,6,1003.3
0.01,SUCCESS,3,1003.31
0.05,SUCCESS,0,1003.35
0.1,SUCCESS,2,1003.39
0.12,TIMEOUT,51,
0.25,SUCCESS,3,1003.49
0.0,SUCCESS,35,1003.4
0.01,SUCCESS,0,1003.41
